start,end
333.0,333.0
555.0,555.0
687.0,687.0
731.3,731.3
743.3,743.3
833.9,833.9
837.2,837.2
861.5,861.5
897.3,897.3
1058.9,1058.9
1240.2,1240.2
1452.5,1452.5
1508.1,1508.1
1535.0,1535.0
1596.0,1596.0
1661.1,1661.1
1701.9,1701.9
1703.0,1703.0
1730.3,1730.3
1747.2,1749.0
1759.2,1759.2
1819.1,1819.1
1871.0,1871.0
1910.0,1910.0
2250.9,2250.9
2252.6,2252.6
2252.8,2254.1
2259.1,2259.1
2310.5,2314.5
2387.0,2387.0
2413.0,2413.0
2511.3,2511.3
2517.3,2517.3
2582.7,2582.7
3211.8,3211.8
3222.4,3222.4
3243.0,3243.0
3265.6,3265.6
3324.8,3324.8
3386.9,3386.9
3410.0,3410.0
3440.5,3440.5
3477.8,3477.8
3517.1,3517.1
3962.5,3962.5
3994.5,3994.5
4000.8,4000.8
4006.3,4006.3
4089.8,4089.8
4138.5,4138.5
4421.8,4421.8
4430.0,4430.0
4514.0,4514.0
4559.1,4559.1
4561.5,4561.5
4598.2,4602.3
4602.9,4604.6
4615.0,4615.0
4872.9,4872.9
4876.3,4876.3
4881.4,4881.4
4905.2,4905.2
4914.3,4915.5
4937.8,4937.8
4975.5,4978.8
5007.2,5007.2
5123.4,5125.9
5248.0,5248.0
5257.0,5257.0
5271.2,5272.3
5277.4,5279.4
5286.7,5286.7
5292.0,5293.5
5485.2,5485.2
5847.0,5847.0
6015.4,6015.4
6320.9,6322.9
6432.5,6432.5
6472.9,6472.9
6540.1,6540.1
6999.4,6999.4
