start,end
327.0,339.0
380.0,382.0
659.0,669.0
1450.0,1453.0
1522.0,1524.0
1574.0,1579.0
1595.0,1597.0
1599.0,1606.0
1614.0,1618.0
1739.0,1743.0
1760.0,1777.0
1794.0,1796.0
1856.0,1870.0
1880.0,1881.0
1908.0,1910.0
2194.0,2199.0
2210.0,2225.0
2258.0,2265.0
2374.0,2375.0
2477.0,2488.0
2488.0,2499.0
2522.0,2527.0
3242.0,3244.0
3261.0,3266.0
3314.0,3323.0
3323.0,3327.0
3530.0,3534.0
3754.0,3756.0
4454.0,4457.0
4597.0,4598.0
4601.0,4603.0
4874.0,4877.0
4926.0,4929.0
5289.0,5290.0
5843.0,5847.0
