start,location,tod,setting
17.0,SAVANNAH,DAY,EXT
272.32,DOCTORS OFFICE,DAY,INT
312.04,GREENBOW ALABAMA,DAY,EXT
318.36,FLASHBACK COUNTRYSIDE,DAY,EXT
343.12,GREENBOW ALABAMA,DAY,EXT
385.72,GUMP HOUSE,DAY,EXT
434.56,PRINCIPALS OFFICE,DAY,INT
447.84,SCHOOL HALLWAY,DAY,INT
462.52,PRINCIPALS OFFICE,DAY,INT
500.24,SCHOOL HALLWAY,DAY,INT
507.76,PRINCIPALS OFFICE,DAY,INT
516.96,GUMP HOUSE,NIGHT,EXT
555.8,GUMP HOUSE / BEDROOM FORREST,NIGHT,INT
586.6,GUMP HOUSE,DAY,EXT
594.96,GUMP HOUSE,DAY,INT
669.76,GREENBOW ALABAMA,NIGHT,EXT
702.68,SAVANNAH,DAY,EXT
712.76,SCHOOL BUS STOP,DAY,EXT
752.32,SCHOOL BUS,DAY,INT
778.6,SAVANNAH,DAY,EXT
791.12,SCHOOL BUS,DAY,INT
847.4,TREE ON A FIELD,DAY,EXT
865.32,TREE ON A FIELD,NIGHT,EXT
886.2,SAVANNAH,DAY,EXT
899.88,ALLEY,DAY,EXT
980.08,SAVANNAH,DAY,EXT
991.32,ALLEY,DAY,EXT
1009.04,ROAD IN GREENBOW,DAY,EXT
1018.8,GREENBOW ALABAMA,DAY,EXT
1026.84,OUTSIDE JENNY'S HOUSE,DAY,EXT
1110.36,GRANDMA'S TRAILER,DAY,EXT
1123.96,GUMP HOUSE,NIGHT,EXT
1135.88,GRUMP HOUSE / BEDROOM FORREST,NIGHT,INT
1144.48,ALLEY,DAY,EXT
1171.72,BULLY TRUCK,DAY,INT
1173.12,ALLEY,DAY,EXT
1194.08,SAVANNAH,DAY,EXT
1201.88,FOOTBALL FIELD,DAY,EXT
1241.12,FOOTBALL STADIUM,DAY,EXT
1292.64,GIRL'S DORM,NIGHT,EXT
1384.88,GIRL'S DORM,NIGHT,INT
1397.8,GIRL'S DORM / JENNY'S ROOM,NIGHT,INT
1525.36,FOOTBALL STADIUM,DAY,EXT
1545.28,INFRONT OF THE WHITE HOUSE (BROADCAST),DAY,EXT
1549.68,WHITE HOUSE (BROADCAST),DAY,INT
1556.48,WHITE HOUSE,DAY,INT
1580.12,WHITE HOUSE (BROADCAST),DAY,INT
1599.28,WHITE HOUSE / BATH ROOM,DAY,INT
1619.2,STOCK FOOTAGE OF JOHN F. KENNDY,DAY,EXT
1623.36,STOCK FOOTAGE OF ROBERT KENNDY,DAY,INT
1628.08,SAVANNAH,DAY,EXT
1634.2,COLLEGE GRADUATION,DAY,EXT
1661.24,ARMY BUS,DAY,INT
1735.56,KITCHEN WITH BUBBAS MOTHER,DAY,INT
1739.6,KITCHEN WITH BUBBAS GRANDMOTHER,DAY,INT
1744.88,ARMY BUS,DAY,INT
1759.2,BARRACKS,DAY,INT
1796.48,BARRACKS,DAY,INT
1845.6,BARRACKS,DAY,INT
1856.6,BARRACKS,DAY,INT
1871.88,BARRACKS,NIGHT,INT
1915.92,CLUB IN MEMPHIS,NIGHT,INT
2029.04,MEMPHIS BRIDGE,NIGHT,EXT
2150.68,VIETNAM MILITARY BASE,DAY,EXT
2309.08,REVOLUTIONARY WAR,DAY,EXT
2310.52,AMERICAN CIVIL WAR,DAY,EXT
2312.12,WORLD WAR 1,DAY,EXT
2313.28,WORLD WAR 2,DAY,EXT
2315.36,VIETNAM MILITARY BASE,DAY,EXT
2359.64,VIETNAM RICE FIELD,DAY,EXT
