onset	duration	major_location	setting	locale	int_or_ext	flow_of_time	time_of_day
0.000	17.000	Paramount	mountain logo	mountain logo	ext	0	day
17.000	151.080	Savannah	sky over Savannah	sky over Savannah	ext	++	day
168.080	104.120	Savannah	bench at bus stop	bench at bus stop	ext	0	day
272.200	14.120	Greenbow Alabama	doctor's office	doctor's office	int	-	day
286.320	14.240	Greenbow Alabama	doctor's office	doctor's office	int	0	day
300.560	11.400	Greenbow Alabama	doctor's office	doctor's office	int	0	day
311.960	6.320	Greenbow Alabama	main street	crossroads	ext	+	day
318.280	24.760	United States	flashback countryside	flashback countryside	ext	-	day
343.040	10.040	Greenbow Alabama	main street	in front of barbershop	ext	++	day
353.080	5.000	Greenbow Alabama	main street	in front of barbershop	ext	0	day
358.080	1.960	Greenbow Alabama	main street	in front of barbershop	ext	0	day
360.040	1.800	Greenbow Alabama	main street	in front of barbershop	ext	0	day
361.840	1.200	Greenbow Alabama	main street	in front of barbershop	ext	0	day
363.040	22.600	Greenbow Alabama	main street	in front of barbershop	ext	0	day
385.640	17.160	Gump property	access-road	at the mail boxes	ext	+	day
402.800	22.800	Gump property	access-road	alley to Gump House	ext	+	day
425.600	8.880	Gump property	Gump House	front of Gump House	ext	0	day
434.480	4.080	Greenbow Alabama	school	Hancock's office	int	++	day
438.560	4.880	Greenbow Alabama	school	Hancock's office	int	0	day
443.440	4.320	Greenbow Alabama	school	Hancock's office	int	0	day
447.760	14.680	Greenbow Alabama	school	school hallway	int	0	day
462.440	4.400	Greenbow Alabama	school	Hancock's office	int	0	day
466.840	4.520	Greenbow Alabama	school	Hancock's office	int	0	day
471.360	4.160	Greenbow Alabama	school	Hancock's office	int	0	day
475.520	17.160	Greenbow Alabama	school	Hancock's office	int	0	day
492.680	3.400	Greenbow Alabama	school	Hancock's office	int	0	day
496.080	4.080	Greenbow Alabama	school	Hancock's office	int	0	day
500.160	7.520	Greenbow Alabama	school	school hallway	int	0	day
507.680	4.640	Greenbow Alabama	school	Hancock's office	int	0	day
512.320	4.560	Greenbow Alabama	school	Hancock's office	int	0	day
516.880	5.360	Gump property	Gump House	front of Gump House	ext	++	night
522.240	4.520	Gump property	Gump House	front of Gump House	ext	0	night
526.760	28.960	Gump property	Gump House	front of Gump House	ext	+	night
555.720	30.760	Gump property	Gump House	Forrest's bedroom	int	+	night
586.480	8.360	Gump property	Gump House	front of Gump House	ext	++	day
594.840	17.240	Gump property	Gump House	corridor downstairs	int	0	day
612.080	18.320	Gump property	Gump House	corridor upstairs	int	+	day
630.400	2.080	Gump property	Gump House	Jenny's bedroom	int	0	day
632.480	1.160	Gump property	Gump House	Jenny's bedroom	int	0	day
633.640	2.720	Gump property	Gump House	Jenny's bedroom	int	0	day
636.360	20.520	Gump property	Gump House	Jenny's bedroom	int	0	day
656.880	2.560	Gump property	Gump House	Jenny's bedroom	int	0	day
659.440	10.120	Gump property	Gump House	Jenny's bedroom	int	0	day
669.560	5.440	Greenbow Alabama	main street	in front of electronic store	ext	++	night
675.000	4.800	Greenbow Alabama	main street	in front of electronic store	ext	0	night
679.800	1.760	Greenbow Alabama	main street	in front of electronic store	ext	0	night
681.560	4.640	Greenbow Alabama	main street	in front of electronic store	ext	0	night
686.200	6.320	Greenbow Alabama	main street	in front of electronic store	ext	0	night
692.520	10.040	Greenbow Alabama	main street	in front of electronic store	ext	0	night
702.560	10.120	Savannah	bench at bus stop	bench at bus stop	ext	++	day
712.680	8.680	Gump property	access-road	at the mail boxes	ext	-	day
721.360	6.080	Gump property	access-road	at the mail boxes	ext	0	day
727.440	2.640	Gump property	access-road	at the mail boxes	ext	0	day
730.080	2.800	Gump property	access-road	at the mail boxes	ext	0	day
732.880	5.560	Gump property	access-road	at the mail boxes	ext	0	day
