onset	duration	text	kommentar	loc_besch	loc_erw	w_class	function	grammar
0.000	1.300	eine				ART		
1.300	0.700	Computeranimation		setting_new		NN		
2.000	1.100	auf				APPR		
3.100	0.300	einen				ART		
3.400	0.200	schroffen				ADJA		
3.600	0.500	Berg		geo		NN		
4.100	0.200	mit				APPR		
4.300	0.600	schneebedeckter				ADJA		
4.900	0.400	Flanke		geo		NN		
5.300	0.500	fliegt				VVFIN		
5.800	0.200	eine				ART		
6.000	0.200	Reihe				NN		
6.200	0.400	Sterne		object		NE		
6.600	0.200	zu				PTKVZ		
6.800	0.600	sie				PPER		
7.400	0.200	bilden				VVFIN		
7.600	0.200	einen				ART		
7.800	0.200	Kranz		object		NN		
8.000	0.300	um				APPR		
8.300	0.000	den				ART		
8.300	0.300	Gipfel		geo		NN		
8.600	1.300	Paramount				NE		
15.600	0.600	vor				APPR		
16.200	0.600	bewölktem				ADJA		
16.800	0.000	Himmel		setting_new		NN		
16.800	0.800	schwebt				VVFIN		
17.600	0.200	eine				ART		
17.800	0.600	grau-weiße				ADJA		
18.400	0.400	Feder		object		NN		
18.800	0.200	durch				APPR		
19.000	0.100	die				ART		
19.100	0.200	Luft				NN		
21.000	1.900	in				APPR		
22.900	0.200	einer				ART		
23.100	0.200	Stadt		setting_new		NN		
23.300	0.700	segelt				VVFIN		
24.000	0.100	sie				PPER		
24.100	0.200	über				APPR		
24.300	0.100	die				ART		
24.400	0.600	Baumkronen		geo		NN		
25.000	0.200	eines				ART		
25.200	0.400	Parks		geo		NN		
31.500	0.400	ein				ART		
31.900	0.400	Robert				NE		
32.300	0.500	Zemeckis			mname	NE		
32.800	0.300	Film			object	NN		
33.900	0.500	Tom				NE		
34.400	0.300	Hanks			mname	NE		
34.700	0.900	als				APPR		
35.600	0.600	Forrest				NN		
36.200	0.400	Gump			mname	NN		
40.400	0.400	die				ART		
40.800	0.300	Feder		object		NN		
41.100	0.200	fliegt				VVFIN		
41.300	0.200	ein				ART		
41.500	0.200	paar				PIAT		
41.700	0.300	Meter				NN		
42.000	0.300	über				APPR		
42.300	0.100	den				ART		
42.400	0.200	Wipfeln		geo		NN		
42.600	1.400	Robin				NE		
44.000	0.100	Wright			fname	NE		
44.100	0.300	als				APPR		
44.400	0.400	Jenny			fname	NE		
44.800	0.900	Gary#Sinise		#	#	#		
45.700	0.400	als				APPR		
46.100	0.200	Lieutenant				NN		
46.300	0.400	Dan			mname	NE		
46.700	0.800	Kelly				NE		
47.500	0.600	Williamson			mname	NE		
48.100	0.300	als				APPR		
48.400	0.300	Bubba			mname	NE		
48.700	0.600	und				KON		
49.300	0.300	Sally				NE		
49.600	0.300	Field			fname	NE		
49.900	0.100	als				APPR		
50.000	0.400	Misses				NE		
50.400	0.200	Gump			fname	NN		
50.600	1.000	Musik				NN		
51.600	0.400	Alan				NE		
52.000	0.300	Silvestri			mname	NE		
52.300	1.200	Buch			object	NE		
53.500	0.400	Eric				NE		
53.900	0.200	Ross			mname	NE		
54.100	0.900	nach				APPR		
55.000	0.200	dem				ART		
55.200	0.300	gleichnamigen				ADJA		
55.500	0.400	Roman			object	NN		
55.900	0.400	von				APPR		
56.300	0.400	Winston				NE		
56.700	0.300	Groom			mname	NN		
57.000	1.700	Regie				NN		
58.700	0.400	Robert				NE		
59.100	0.500	Zemeckis			mname	NE		
68.500	0.300	in				APPR		
68.800	0.100	der				ART		
68.900	0.200	Nähe				NN		
69.100	0.300	eines				ART		
69.400	0.600	Kirchturms		geo		NN		
70.000	0.400	sinkt				VVFIN		
70.400	0.100	die				ART		
70.500	0.400	Feder		object		NN		
70.900	0.200	vor				APPR		
71.100	0.100	einem				ART		
71.200	0.200	weißen				ADJA		
71.400	0.600	Gebäude		geo		NN		
72.000	0.400	langsam				ADJD		
72.400	0.400	tiefer				ADJD		
76.300	1.200	die				ART		
77.500	0.500	Hörfilmfassung				NN		
78.000	0.600	wurde				VAFIN		
78.600	0.100	produziert				VVPP		
78.700	0.600	vom				APPRART		
79.300	0.400	Bayerischen				ADJA		
79.700	0.400	Rundfunk				NN		
80.100	0.200	im				APPRART		
80.300	0.400	Auftrag				NN		
80.700	0.200	des				ART		
80.900	0.400	Schweizer				ADJA		
81.300	0.200	Fernsehens				NN		
81.500	1.000	Text				NN		
82.500	0.400	Kopp				NE		
82.900	0.600	Michalski			mname	NE		
83.500	0.300	und				KON		
83.800	0.400	Weckmann			mname	NE		
84.200	0.700	Hörfilm				NN		
84.900	0.100	ev				APPR		
85.000	1.300	Redaktion				NN		
86.300	0.400	Elmar				NE		
86.700	0.200	Dosch			mname	NE		
86.900	0.300	und				KON		
87.200	0.300	Bernd				NE		
87.500	0.300	Benecke			mname	NE		
87.800	1.100	Tonmischung				NN		
88.900	0.500	Herbert				NE		
89.400	0.200	Glaser			mname	NE		
89.600	0.900	Sprecher				NN		
90.500	0.300	Thomas				NE		
90.800	0.600	Meinhardt			mname	NE		
92.700	0.400	die				ART		
93.100	0.300	Feder		object		NN		
93.400	0.400	trudelt				VVFIN		
93.800	0.100	zu				APPR		
93.900	0.200	einer				ART		
94.100	0.400	Straße		geo		NN		
94.500	0.500	hinunter				ADJD		
95.000	0.200	die				ART		
95.200	0.200	durch				APPR		
95.400	0.000	den				ART		
95.400	0.300	Park		geo		NN		
95.700	0.200	führt				VVFIN		
95.900	0.800	ein				ART		
96.700	0.200	Mann		male		NN		
96.900	0.400	bleibt				VVFIN		
97.300	0.300	kurz				ADJD		
97.600	0.100	am				APPRART		
97.700	0.300	Bordstein		object		NN		
98.000	0.400	stehen				VVFIN		
98.400	0.700	die				ART		
99.100	0.300	Feder		object		NN		
99.400	0.300	landet				VVFIN		
99.700	0.100	sanft				ADJD		
99.800	0.400	auf				APPR		
100.200	0.300	seiner				PPOSAT		
100.500	0.400	Schulter		body		NN		
105.400	0.400	der				ART		
105.800	0.100	Mann		male		NN		
105.900	0.600	überquert				VVFIN		
106.500	0.200	die				ART		
106.700	0.400	Fahrbahn		geo		NN		
107.100	0.700	die				ART		
107.800	0.300	Feder		object		NN		
108.100	0.300	schwebt				VVFIN		
108.400	0.400	weiter				ADV		
108.800	0.200	über				APPR		
109.000	0.100	die				ART		
109.100	0.700	Windschutzscheibe		object		NN		
109.800	0.200	eines				ART		
110.000	0.400	Chevrolet		object		NN		
110.400	1.000	sie				PPER		
111.400	0.300	sinkt				VVFIN		
111.700	0.300	bis				APPR		
112.000	0.200	dicht				ADJD		
112.200	0.300	über				APPR		
112.500	0.100	den				ART		
112.600	0.200	Asphalt				NN		
112.800	0.700	und				KON		
113.500	0.200	fliegt				VVFIN		
113.700	0.300	unter				APPR		
114.000	0.100	einem				ART		
114.100	0.300	Wagen		object		NN		
114.400	0.500	hindurch				PROAV		
114.900	0.200	der				ART		
115.100	0.000	an				APPR		
115.100	0.200	einer				ART		
115.300	0.300	Bushaltestelle		geo		NN		
115.600	0.700	vorbei				ADV		
116.300	0.400	fährt				VVFIN		
117.200	0.400	die				ART		
117.600	0.200	Feder		object		NN		
117.800	0.200	wird				VAFIN		
118.000	0.200	wieder				ADV		
118.200	0.700	hochgewirbelt				VVPP		
118.900	0.100	und				KON		
119.000	0.700	trudelt				VVFIN		
119.700	0.100	zu				APPR		
119.800	0.300	einem				ART		
120.100	0.200	Mann		male		NN		
120.300	0.200	auf				APPR		
