onset	duration	person	FG	kind	prosody	sentence_grammar	text	commentary
1.120	1.400	ERZAEHLER	1	speech	regular	none	Eine Computeranimation	
3.080	3.840	ERZAEHLER	1	speech	regular	HS	Auf einen schroffen Berg mit schneebedeckter Flanke fliegt eine Reihe Sterne zu. 	
7.240	1.600	ERZAEHLER	1	speech	regular	HS	Sie bilden einen Kranz um den Gipfel.	
9.320	0.680	ERZAEHLER	1	speech	regular	none	Paramount	
15.920	3.480	ERZAEHLER	1	speech	regular	HS	Vor bewölktem Himmel schwebt eine grau-weiße Feder durch die Luft.	
20.680	144.800	OST	1	song	instrumental	instrumental		
22.760	2.960	ERZAEHLER	1	speech	regular	HS	In einer Stadt segelt sie über die Baumkronen eines Parks.	
31.760	1.400	ERZAEHLER	1	speech	regular	none	Ein Robert-Zemeckis-Film	
34.200	2.400	ERZAEHLER	1	speech	regular	none	Tom Hanks als Forrest Gump	
40.680	2.160	ERZAEHLER	1	speech	regular	HS	Die Feder fliegt ein paar Meter über den Wipfeln.	
43.800	6.960	ERZAEHLER	1	speech	regular	none	Robin Wright als Jenny, Gary Sinise als Lieutenant Dan, Mykelti Williamson als Bubba und Sally Field als Missis Gump	
51.360	1.280	ERZAEHLER	1	speech	regular	none	Musik: Alan Silvestri	
53.160	1.120	ERZAEHLER	1	speech	regular	none	Drehbuch: Eric Roth	
54.880	2.280	ERZAEHLER	1	speech	regular	none	Nach dem gleichnamigen Roman von Winston Groom	
58.400	1.360	ERZAEHLER	1	speech	regular	none	Regie: Robert Zemeckis	
68.720	4.160	ERZAEHLER	1	speech	regular	HS	In der Nähe eines Kirchturmes sinkt die Feder vor einem weißen Gebäude langsam tiefer.	
77.440	4.520	ERZAEHLER	1	speech	regular	HS	Die Hörfilmfassung wurde produziert vom Bayerischen Rundfunk im Auftrag des Schweizer Fernsehens.	
82.160	3.080	ERZAEHLER	1	speech	regular	none	Text: Koop, Michalski und Beckmann – Hörfilm e.V	
85.840	2.080	ERZAEHLER	1	speech	regular	none	Redaktion: Elmar Dosch und Bernd Benecke	
88.440	1.360	ERZAEHLER	1	speech	regular	none	Tonmischung: Herbert Glaser	
90.120	1.320	ERZAEHLER	1	speech	regular	none	Sprecher: Thomas Meinhardt	
93.000	3.080	ERZAEHLER	1	speech	regular	HS	Die Feder trudelt zu einer Straße hinunter, die durch den Park führt.	
