onset	duration	text	kommentar	loc_besch	w_class	function	grammar
5.882	1.2	es			PPER		
7.082	0.2	ist			VAFIN		
7.282	0.2	Tag		++	NN		
7.482	0.9	neben			APPR		
8.382	0.0	seinem			PPOSAT		
8.382	0.4	Haus		setting_rec		NN	
8.782	0.3	sitzt			VVFIN		
9.082	0.3	Forrest		mname	NE		
9.382	0.2	auf			APPR		
9.582	0.1	dem			ART		
9.682	0.3	kleinen			ADJA		
9.982	0.2	Mäher		object	NN		
10.182	0.4	und			KON		
10.582	0.3	mäht			VVFIN		
10.882	0.2	die			ART		
11.082	0.4	große			ADJA		
11.482	0.3	Wiese		roomgeo	NN		
16.782	0.3	er		male	PPER		
17.082	0.3	zieht			VVFIN		
17.382	0.2	eine			ART		
17.582	0.4	schnurgerade			ADJA		
17.982	0.4	Bahn		roomgeo	NN		
21.382	0.3	die			ART		
21.682	0.3	Wiese		roomgeo	NN		
21.982	0.4	grenzt			VVFIN		
22.382	0.1	an			APPR		
22.482	0.2	den			ART		
22.682	0.2	Fluss		geo	NN		
22.882	0.2	der			ART		
23.082	0.2	von			APPR		
23.282	0.4	Bäumen		geo	NN		
23.682	0.4	gesäumt			VVPP		
24.082	0.2	ist			VAFIN		
27.382	0.4	von			APPR		
27.782	0.2	der			ART		
27.982	0.4	Zufahrt		geo	NN		
28.382	0.5	kommt			VVFIN		
28.882	1.0	Jenny		fname	NE		
29.882	0.4	auf			APPR		
30.282	0.2	den			ART		
30.482	0.3	Rasen		roomgeo	NN		
32.782	0.4	Sie			PPER		
33.182	0.2	geht			VVFIN		
33.382	0.1	am			APPRART		
33.482	0.2	Baum		geo	NN		
33.682	0.1	mit			APPR		
33.782	0.2	der			ART		
33.982	0.1	Schaukel		object	NN		
34.082	0.4	vorbei			ADV		
34.482	0.3	auf			APPR		
34.782	0.4	Forrest		mname	NE		
35.182	0.2	zu			PTKVZ		
45.082	0.7	langsam			ADJD		
45.782	0.4	nähert			VVFIN		
46.182	0.0	sich			PRF		
46.182	0.5	Jenny		fname	NE		
48.582	1.4	Forrest		mname	NE		
49.982	0.4	steigt			VVFIN		
50.382	0.1	ab			PTKVZ		
50.482	1.1	ungläubig			ADJD		
51.582	0.3	geht			VVFIN		
51.882	0.1	er			PPER		
51.982	0.1	ihr			PPER		
52.082	0.1	ein			ART		
52.182	0.2	paar			PIAT		
52.382	0.3	Schritte			NN		
52.682	0.5	entgegen			PTKVZ		
53.182	0.4	und			KON		
53.582	0.2	hält			VVFIN		
53.782	0.2	an			PTKVZ		
