onset	duration	fg	artist	title	year
64.098	19.16	1	Donny Gerrard	Jesus On The Mainline	
108.418	16.08	1	unknown	unknown	
148.818	22.04	1	unknown	unknown	
207.338	22.52	1	KC & The Sunshine Band	Get Down Tonight	1975
230.858	92.0	1	Lynyrd Skynyrd	Free Bird	1973
339.698	29.04	0	OST	instrumental	
368.738	22.0	1	OST	instrumental	
393.298	10.24	0	OST	instrumental	
437.658	42.84	1	Randy Newman	Mr. President (Have Pity on the Working Man)	1974
493.098	16.08	1	crowd in church	Plant My Feet On Higher Ground	
606.898	12.64	1	unknown	unknown	
691.218	36.76	0	OST	instrumental	
757.967	66.04	1	crowd in church	I've Got A New Home	
833.087	18.6	0	OST	instrumental	
851.687	128.88	1	OST	instrumental	
