onset	duration	person	FG	kind	prosody	sentence_grammar	text	commentary
3.084	0.72	FORREST (V.O.)	1	speech	regular	none	In Liebe	direkte Rede
4.164	1.64	FORREST (V.O.)	1	speech	regular	address	Forrest Gump	direkte Rede
6.644	25.8	BUFFALO SPRINGFIELD	1	song	regular		“For What Its Worth”	
7.364	1.36	ERZAEHLER	1	speech	regular	HS	Auf Patrouille streift der Trupp...	
10.124	0.64	ERZAEHLER	1	speech	regular	completion	...durch den Dschungel.	
16.164	2.36	BUFFALO SPRINGFIELD	1	singing	regular	foreign	There's something happenin' here.	
20.244	1.0	FORREST (V.O.)	1	speech	regular	HS	Dann kam ein Tag	
21.684	2.0	FORREST (V.O.)	1	speech	regular	HS	Wir waren grade mal unterwegs, wie üblich.	
24.724	2.8	FORREST (V.O.)	1	speech	regular	HS	Da hat plötzlich jemand den Regen abgestellt.	
28.004	0.72	FORREST (V.O.)	1	speech	regular	none	Einfach so	
29.404	1.24	FORREST (V.O.)	1	speech	regular	HS	und die Sonne kam raus.	
33.364	1.12	ERZAEHLER	1	speech	regular	HS	Ein Kamerad wird getroffen.	
34.524	1.04	ERZAEHLER	1	speech	regular	HS	Forrest wirft sich hin.	
33.764	0.36	SOLDIER 1	1	speech	commanding	none	runter	#movie#
33.804	0.2	SOLDIER 1	1	non	regular	none	aaaah	#movie#
36.044	1.04	LT. DAN	1	speech	regular	imperative	Geht in Deckung!	
37.044	1.68	ERZAEHLER	1	speech	regular	HS	Leuchtende Munition saust durch die Luft.	
42.764	1.2	ERZAEHLER	1	speech	regular	HS	Überall spritzt Erde hoch.	
44.084	1.52	ERZAEHLER	1	speech	regular	HS	Forrest robbt hinter eine Wegböschung.	
46.124	2.28	LT. DAN	1	speech	commanding	HS	Ihr sollt das MG herbringen, verdammt nochmal!	
48.404	1.2	BUBBA	1	speech	regular	address	Forrest	
49.444	0.92	BUBBA	1	speech	asking	none	Alles okay?	
50.484	2.68	ERZAEHLER	1	speech	regular	AND	Neben Forrest liegt Dan und hält den Hörer eines Funktelefons.	
53.004	3.16	LT. DAN	0	speech	regular	complex	Strongarm, Strongarm, Hier Leg Lima 6, wir liegen unter Beschuss.	
56.164	1.24	LT. DAN	0	speech	commanding	address	Sanitäter	
57.444	1.2	LT. DAN	1	speech	regular	HS	Wir haben einen Verwundeten.	
58.684	0.84	ERZAEHLER	1	speech	regular	HS	Forrest schießt.	
59.764	1.12	LT. DAN	1	speech	regular	none	Hier Leg Lima 6	
61.884	0.32	LT. DAN	1	non	regular	none	hach	
62.524	4.96	LT. DAN	1	speech	regular	none	Strongarm, unter schwerem Beschuss von der feindlichen um Blue Line Fluss 2.	
67.724	1.36	LT. DAN	1	speech	regular	none	Mörserfeuer und Raketen	
70.004	1.92	SOLDIER WITH BIG MACHINE GUN	1	speech	exclamation	HS;HS	Es klemmt, verflucht nochmal, es klemmt.	###exclamation###
73.804	1.2	LT. DAN	1	speech	regular	address	Verdammt nochmal, Männer	
75.484	1.64	LT. DAN	1	speech	commanding	imperative	Holt das MG!	
77.844	1.64	LT. DAN	1	speech	commanding	imperative	Halt voll auf die Bäume drauf!	
80.284	1.84	ERZAEHLER	1	speech	regular	HS	Ein Feuerball fegt die MG-Schützen weg.	
86.844	0.72	LT. DAN	1	speech	asking	question	Habt ihr verstanden?	
88.324	0.88	LT. DAN	1	commanding	regular	none	Rückzug	
89.764	2.76	BUBBA	1	speech	regular	address	Forrest	
