onset	duration	text	kommentar	loc_besch	loc_erw	w_class	function	grammar
6.0	0.1	in				APPR		
6.1	0.2	einem				ART		
6.3	0.3	Camp		setting_new		NN		
6.6	29.4	bei				APPR		
36.0	0.4	Jenny		fname		NE		
36.4	0.2	steht				VVFIN		
36.6	0.1	ein				ART		
36.7	0.3	Weißer		male		NN		
37.0	0.3	mit				APPR		
37.3	0.2	roter				ADJA		
37.5	0.4	Armbinde		object		NN		
50.7	13.3	Forrest#starrt		#	#	#		
64.0	0.4	zu				APPR		
64.4	0.3	Jenny		fname		NE		
64.7	0.1	und				KON		
64.8	0.4	Wesley		mname		NE		
65.2	0.1	die				ART		
65.3	0.1	sich				PRF		
65.4	0.4	streiten				VVINF		
65.8	5.8	Wesley		male		NE		
71.6	0.2	ohrfeigt				VVFIN		
71.8	0.5	Jenny		fname		NE		
72.3	2.9	in				APPR		
75.2	0.5	Zeitlupe				NN		
75.7	0.6	Forrest		mname		NN		
76.3	0.5	Augen		face		NN		
76.8	0.3	weiten				VVFIN		
77.1	0.2	sich				PRF		
77.3	0.3	er				PPER		
77.6	0.4	maschiert				VVFIN		
78.0	0.1	auf				APPR		
78.1	0.4	Wesley		male		NE		
78.5	0.2	zu				PTKZU		
78.7	0.6	stürzt				VVFIN		
79.3	0.2	sich				PRF		
79.5	0.1	auf				APPR		
79.6	0.3	ihn				PPER		
79.9	0.2	und				KON		
80.1	0.2	fällt				VVFIN		
80.3	0.2	mit				APPR		
80.5	0.1	ihm				PPER		
80.6	0.2	über				APPR		
80.8	0.2	einen				ART		
81.0	0.2	Tisch		furniture		NN		
81.2	6.2	er				PPER		
87.4	0.4	prügelt				VVFIN		
87.8	0.1	auf				APPR		
87.9	0.3	Wesley		mname		NE		
88.2	0.2	ein				PTKVZ		
88.4	4.6	sie				PPER		
93.0	0.3	zieht				VVFIN		
93.3	0.1	ihn				PPER		
93.4	0.2	weg				PTKVZ		
93.6	1.8	Wesley		mname		NE		
95.4	0.3	rappelt				VVFIN		
95.7	0.1	sich				PRF		
95.8	0.3	hoch				ADJD		
96.1	0.6	fasst				VVFIN		
96.7	0.1	sich				PRF		
