onset	duration	person	FG	kind	prosody	sentence_grammar	text	commentary
1.581	1.8	ERZAEHLER	1	speech	regular	HS	Er rennt mit seinem Schläger zum Ausgang.	
7.701	1.16	ERZAEHLER	1	speech	regular	HS	Missis Gump kommt...	
9.021	0.48	MRS. GUMP	1	non	regular	none	haaaa	
9.661	0.8	ERZAEHLER	1	speech	regular;addendum	none	...auf ihre Veranda.	
11.061	3.76	ERZAEHLER	1	speech	regular	AND	Glücklich lächelnd bleibt sie auf dem Treppenabsatz stehen und sieht ihrem Sohn entgegen.	
14.981	1.4	ERZAEHLER	1	speech	regular	HS	Ihr Haar ist leicht ergraut. 	
17.901	0.32	MRS. GUMP	1	non	regular	none	heeee	
18.261	1.76	ERZAEHLER	1	speech	regular	HS	Forrest kommt über den Rasen auf sie zu.	
20.101	2.24	ERZAEHLER	1	speech	regular	HS	Er trägt seine graue Uniform mit Schiffchen auf dem Kopf.	
22.541	0.52	FORREST	1	speech	regular	HS	Da bin ich wieder.	
23.101	0.28	FORREST	1	speech	regular	address	Mama	
24.341	0.68	MRS. GUMP	1	speech	regular	HS	Ich weiß.	
25.341	0.72	MRS. GUMP	1	speech	regular	HS	Ich weiß.	
27.461	2.84	MRS. GUMP	0	speech	regular	complex	Louise, er ist da! Er ist da! Kommt alle.	
27.781	5.36	FORREST (V.O.)	1	speech	regular	NS;HS;NS	Als ich dann nach Haus kam, konnte ich ja nicht ahnen, dass inzwischen alle möglichen Leute bei Mama gewesen waren.	
32.861	1.8	MRS. GUMP	1	speech	regular	HS	Hier sind alle möglichen Leute gewesen.	
34.701	0.36	MRS. GUMP	1	speech	regular	address	Forrest	
35.101	2.72	MRS. GUMP	1	speech	regular	HS;NS	Die wollen alle, dass du mit ihrem Zeug Ping Pong spielst.	
37.981	6.8	MRS. GUMP	1	speech	regular	HS;NS;NS2;NS3	Ein Mann war da, der hat sogar einen Check über 25.000 Dollar hier gelassen, nur damit du überall erzählst, dass du mit seinem Schläger spielst.	
45.421	2.16	FORREST	1	speech	regular	address;HS	Ach Mama, ich spiel am liebsten mit meinem eigenen Schläger.	
47.581	0.2	MRS. GUMP	1	non	regular	none	uhm	
47.781	0.12	FORREST	1	non	regular	none	äh	
47.941	0.92	FORREST	1	speech	regular	address	Hi, Miss Louise.	
48.901	1.0	MRS. GUMP	0	non	regular	none	häääähäää	
48.941	1.16	LOUISE	1	speech	regular	address	Hi, Forrest.	
50.061	1.24	MRS. GUMP	1	speech	regular	none	Das weiß ich.	
51.421	1.12	MRS. GUMP	1	speech	regular	none	Das weiß ich.	
52.901	2.24	MRS. GUMP	1	speech	regular	HS	Aber es sind 25.000 Dollar.	
55.181	0.44	MRS. GUMP	1	speech	regular	address	Forrest	
55.661	1.76	MRS. GUMP	1	speech	regular	HS	Vielleicht kannst du ihn ja mal ausprobieren.	
57.781	1.32	MRS. GUMP	1	speech	regular	HS	Vielleicht gewöhnst du dich dran.	
59.821	2.2	FORREST (V.O.)	1	speech	regular	address;HS	Meine Mama, Sie hatte weiß Gott recht.	
59.901	1.8	MRS. GUMP	0	speech	regular	HS;address	Du siehst sehr gut aus, Forrest	
61.821	1.28	MRS. GUMP	0	speech	regular	HS	Du siehst sehr gut aus.	
62.141	2.24	FORREST (V.O.)	1	speech	regular	HS	Komisch wie manchmal alles von selbst geht.	
64.061	107.8	DONNY GERRARD	0	song	regular		###song name?###	
64.661	1.8	FORREST (V.O.)	1	speech	regular	HS	Ich bin nicht lange zu Hause geblieben.	
66.501	4.12	FORREST (V.O.)	1	speech	regular	AND	Ich hatte Bubba ja etwas versprochen und ich bemühe mich immer meine Versprechen zu halten.	
68.461	2.84	KIDS IN BACKGROUND	0	speech	regular	###	Background noise	
70.861	4.16	FORREST (V.O.)	1	speech	regular	complex	Ich bin nach Bayou la Batre gefahren, zu Bubbas Familie, um ihnen zu sagen, was ich vorhabe.	
74.901	1.44	MRS. BLUE	1	speech	asking	question	Sind sie ein Idiot?	
77.301	1.6	MRS. BLUE	1	speech	asking	question	Oder sind sie einfach nur dumm?	
79.501	1.12	FORREST	1	speech	regular	HS;NS	Dumm ist der, der Dummes tut.	
80.661	0.68	FORREST	1	speech	regular	address	Mrs Blue	
81.541	1.12	MRS. BLUE	1	speech	regular	HS	Das kann sein.	
82.781	1.2	ERZAEHLER	1	speech	regular	HS	Bei ihr stehen fünf Kinder.	
84.061	3.2	FORREST (V.O.)	1	speech	regular	HS	Natürlich habe ich auch Bubba selbst meine Ehre erwiesen.	
87.701	0.56	ERZAEHLER	1	speech	regular	none	Am Grab	
88.981	0.76	FORREST	1	speech	regular	address	Hey Bubba	
89.941	0.64	FORREST	1	speech	regular	HS	Ich bins.	
90.621	0.8	FORREST	1	speech	regular	none	Forrest Gump	
94.781	2.0	FORREST	1	speech	regular	HS;NS	Ich hab nicht vergessen, was du gesagt hast.	
97.261	2.2	FORREST	1	speech	regular	HS	Und ich hab alles genau ausgerechnet.	
99.581	1.2	ERZAEHLER	1	speech	regular	HS	Er zieht einen Zettel raus.	
101.021	1.44	FORREST	1	speech	regular	HS	Ich nehme jetzt die...	
102.741	5.64	FORREST	1	speech	regular;addendum	none;NS	...24562 Dollar und 47 Cent, die noch da sind.	
