"start","end","person","text"
189.8,194.0,"FORREST","Hallo, Mein Name ist Forrest, Forrest Gump."
199.7,201.2,"FORREST","Moechten sie eine Praline?"
204.2,217.4,"FORREST","Ich glaub, Ich könnte sie pfundweise essen. Meine Mama hat immer gesagt: ""Das Leben ist wie eine Schachtel Pralinen. Man weiß nie was man kriegt."
225.2,237.8,"FORREST","Das müssen ja bequeme Schuhe sein. Ich wette in den Schuhen kann man den ganzen Tag rumlaufen und spürt garnichts. Ich wünschte ich hätte solche Schuhe."
238.6,240.0,"BLACK WOMAN","Meine Füße tun weh."
241.1,250.0,"FORREST","Mama sagte immer: Schuhe können dir über einen Menschen ganz schön viel erzählen. Wohin sie gehen, Wo sie gewesen sind."
256.899,266.6,"FORREST","Ich hab schon sehr viele Schuhe angehabt. Wenn ich mich richtig anstrenge kann ich mich bestimmt an mein erstes Paar Schuhe erinnern."
269.2,272.0,"FORREST","Mama hat gesagt ich kann damit überall hingehen."
272.6,275.5,"FORREST (V.O.)","Sie hat gesagt es sind meine Zauberschuhe."
275.2,286.8,"DOCTOR","Ok Forrest, Kannst deine Augen wieder aufmachen. So und jetzt gehen wir mal ein bisschen."
294.0,306.7,"DOCTOR","Wie fühlen sie sich an? Er hat kräftige Beine Misses Gump, Genau so kräftige wie alle anderen Kinder, Aber dafür hat er ein Rückrat wie ein Politiker."
307.7,310.4,"DOCTOR","Wir werden schon einen aufrechten Kerl aus ihm machen. Was Forrest?"
311.0,311.8,"MRS. GUMP","Forrest!"
313.3,319.3,"FORREST (V.O.)","Als ich ein Baby war hat Mama mich nach dem berühmten Helden aus dem Bürgerkrieg Genreal Nathan Bedford Forrest genannt"
319.7,342.7,"FORREST (V.O.)","Sie sagt, Wir sind irgendwie verwandt. Er hat einen Verein gegründet der heißt Ku-Klux-Klan, Da verkleiden sich alle mit langen Kleidern, Mit Betttüchern und tun so als wären sie Geister oder Gespenster oder so die decken so Betttücher über ihre Pferde und reiten dann damit rum. Na jedenfalls so hab ich meinen Namen gekriegt: Forrest Gump."
343.4,350.5,"FORREST (V.O.)","Mama hat gesagt der Name Forrest soll mich immer daran erinnern, Dass wir manchmal Sachen tun die nicht viel Sinn ergeben."
355.1,357.1,"MRS. GUMP","Ich krieg das da raus, Lass mich."
358.1,362.0,"MRS. GUMP","Ich mach das, Das geht doch da raus, Warte warte"
363.9,381.6,"MRS. GUMP","Was guckt ihr denn so? Habt ihr noch nie nen Jungen mit Schienen an den Beinen gesehen? Lass dir nur ja von niemandem einreden er wäre was besseres als du Forrest. Wenn Gott gewollt hätte, Dass alle Menschen gleich wären, Dann würden wir heute alle Beinschienen tragen."
381.6,385.5,"FORREST (V.O.)","Mama konnte immer alle Sachen so erklären, Dass ich sie verstehen konnte."
